review_id,group_hash,source_stems,copy_statuses,review_image,review_decision
1,03607184a76e9c3f1ec3de4dbebb8b23e8261fab844c93c2e9bdff763b13e0cd,(383);(426);gingivitis_(638);gingivitis_(703),1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_001_03607184a76e.jpg,
2,03e91152855858e48eb910973d0ee7bf869ab537edd34937132924353e166c83,(1064);gingivitis_(1831);gingivitis_(1966);gingivitis_(2004),1;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_002_03e911528558.jpg,
3,0530d30271fb7dbb62aef0e6ed3a72f53e9eec00a1d310a725acc740567b0069,(880);gingivitis_(1676),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_003_0530d30271fb.jpg,
4,06dd0f0ee8501c7e7a6c71b37e493167cd647fc3b59aff5e7c3bf7ceb6f49939,(168);gingivitis_(459),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_004_06dd0f0ee850.jpg,
5,09876a8f26bdb6e300db7d06a0f896a2c11affbe91f047701fc75d039bcc24b3,(591);(631);(655);(656);gingivitis_(1179),1;1;1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_005_09876a8f26bd.jpg,
6,0ddbc6f4df945bd03c1b007a2acce813a7fa5174fb17c2866a05db85e9afe4ad,106;171,1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_006_0ddbc6f4df94.jpg,
7,1227e0495ae2f0743f81f0c88feca40c211ca63f6a0263859fbb1d69575cd890,(27);(57);gingivitis_(15),1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_007_1227e0495ae2.jpg,
8,1269334646678db4a3a63b41119d1f6299b70a3d092b69795af7fc2d80fd49a7,(1012);(1103);(1146);gingivitis_(1938);gingivitis_(2003),1;1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_008_126933464667.jpg,
9,1a34ee6ef64151ca686ba6e372390b59439ee590e1e427d10084774e2ae583d3,(962);(983);gingivitis_(1562);gingivitis_(1575);gingivitis_(1645);gingivitis_(1803),1;1;0;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_009_1a34ee6ef641.jpg,
10,1b70d4e7ab00e3f25f0b37f89231a2b7964d27a7b47b03fdf0ccd9c2ad5db6eb,(315);(345);gingivitis_(532),1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_010_1b70d4e7ab00.jpg,
11,1c3a0044d50ff59482f27d5849b021d9d273287b5c71e3c1b0586b06196d423c,(866);gingivitis_(1657),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_011_1c3a0044d50f.jpg,
12,1eee0ec96846a847d7810132f370a7597e52b41c5d0f0a983831500a400c54d4,(1179);(1209);gingivitis_(2090),1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_012_1eee0ec96846.jpg,
