sample_id,category,dice,precision,recall,gt_pixels,pred_pixels,overlay
025fd5ba6125aad5,acceptable,0.823721,0.888238,0.767959,9075,7846,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__025fd5ba6125aad5.jpg
035387328cb2479e,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__035387328cb2479e.jpg
076f38c4104af99d,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__076f38c4104af99d.jpg
08314ac8404a989f,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__08314ac8404a989f.jpg
08bca747fd8f706f,false_negative,0.000251,1.0,0.000251,3981,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__08bca747fd8f706f.jpg
093d9686ed11672f,false_negative,0.000569,1.0,0.000569,1757,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__093d9686ed11672f.jpg
09ad16192fadf0ab,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__09ad16192fadf0ab.jpg
0a8b81b415d454a2,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__0a8b81b415d454a2.jpg
0abd20f4f90881d9,false_negative,0.080492,0.100233,0.068471,627,428,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__0abd20f4f90881d9.jpg
0bc4f141909794da,acceptable,0.499641,0.819788,0.359504,1935,848,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__0bc4f141909794da.jpg
0cc7e302c3733a39,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__0cc7e302c3733a39.jpg
0dcba3521f2f27b1,false_negative,0.00018,1.0,0.00018,5563,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__0dcba3521f2f27b1.jpg
0f60d9c6d2284e98,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__0f60d9c6d2284e98.jpg
