group_hash,stems
05885c9172aafa69eddc3ac55f0d397ee901ff96a0fc90e8c073c107931c1eae,124
2279e47a9da0484bf141ff69ed9fcf7fb9ad7ada0352274b52ef5c4ec1a2c9a5,132
2c35cf797e1d4dbb106c20f97ae7269003c58d830d3554b6d0e099fceea27e12,caries_0_5603
38d7815a470252a47fe2932e29205067755cd0200dc5aeed403f5eb7e2ef6fa2,129
3f5d6ea545627130cfe540b6b7effeb19c6783707cc3d793f1d7ff4fbbc4b741,125;126
4065ddb929d470a1d4f77ad1d1acaae8fb4bbe683dba6603c53b66c9a2778d59,130
4acc0a51edd2c1d285964ed44aa255ab414a87c57ce7621d0538aba68c0ba007,121
760710d70dfe0d35748e9462fd4dff04a0805b154c0f6d515d058e4020c5382b,gingivitis_(1088)
974d8872425df4250683853522e0073e77c3bd67850ef842e4ef5f12103b8535,40
a8075bc231e5da5d04b551c3d2a905417c65f179241ab1d6b0afe27c456b3017,127
b143ec6d2c39d887f9e8d88880d8fd1d762d1f8ddf01d2a80820292f6accd7e6,gingivitis_(1423)
bb6a9cf8f0956960784e15435deff5c2fe9e1fd30e111ff68005e0c094574d00,131
be0b6e9235aeb9024d28fed32940a293a42f03d286a55738389965440f104d82,128
c12c8cc43a01e04109e929485151d7be51897542bfadbc5630b2070d36021e5c,123
